track,branch,role,sdr,sir,sar
Buitraker_-_Revo_X,xover250,bass,-5.1657,-3.0929,27.4254
Buitraker_-_Revo_X,xover250,drums,3.4253,2.2961,16.1143
Buitraker_-_Revo_X,xover250,other,-3.9749,-11.8848,3.6579
Buitraker_-_Revo_X,xover150d,vocals,0.5186,-1.4189,7.5648
Buitraker_-_Revo_X,xover150d,bass,-2.8125,-3.2902,14.2947
Buitraker_-_Revo_X,xover150d,drums,3.4253,2.2961,16.1143
Buitraker_-_Revo_X,xover150d,other,-3.9749,-11.8848,3.6579
Forkupines_-_Semantics,xover100,vocals,1.2027,0.1659,4.5456
Forkupines_-_Semantics,xover100,bass,-8.7236,-10.4517,23.1300
Forkupines_-_Semantics,xover100,drums,4.1698,3.8130,15.1817
Forkupines_-_Semantics,xover100,other,-0.4499,-6.1406,4.5942
Forkupines_-_Semantics,xover150,vocals,1.2027,0.1659,4.5456
Forkupines_-_Semantics,xover150,bass,-9.4284,-9.0804,27.8914
Forkupines_-_Semantics,xover150,drums,4.1698,3.8130,15.1817
Forkupines_-_Semantics,xover150,other,-0.4499,-6.1406,4.5942
Forkupines_-_Semantics,xover250,vocals,1.2027,0.1659,4.5456
Forkupines_-_Semantics,xover250,bass,-9.5334,-9.2689,31.0739
Forkupines_-_Semantics,xover250,drums,4.1698,3.8130,15.1817
Forkupines_-_Semantics,xover250,other,-0.4499,-6.1406,4.5942
Forkupines_-_Semantics,xover150d,vocals,1.2027,0.1659,4.5456
Forkupines_-_Semantics,xover150d,bass,-4.4664,-8.7310,14.7228
Forkupines_-_Semantics,xover150d,drums,4.1698,3.8130,15.1817
Forkupines_-_Semantics,xover150d,other,-0.4499,-6.1406,4.5942
Hollow_Ground_-_Ill_Fate,xover100,vocals,1.6080,1.5325,7.0628
Hollow_Ground_-_Ill_Fate,xover100,bass,-4.3000,-1.7293,18.7962
Hollow_Ground_-_Ill_Fate,xover100,drums,-1.7103,-6.3730,19.6810
Hollow_Ground_-_Ill_Fate,xover100,other,2.0097,-1.1590,10.6424
Hollow_Ground_-_Ill_Fate,xover150,vocals,1.6080,1.5325,7.0628
Hollow_Ground_-_Ill_Fate,xover150,bass,-5.8673,-1.6603,21.3300
Hollow_Ground_-_Ill_Fate,xover150,drums,-1.7103,-6.3730,19.6810
Hollow_Ground_-_Ill_Fate,xover150,other,2.0097,-1.1590,10.6424
Hollow_Ground_-_Ill_Fate,xover250,vocals,1.6080,1.5325,7.0628
Hollow_Ground_-_Ill_Fate,xover250,bass,-5.4531,-2.8507,24.4457
Hollow_Ground_-_Ill_Fate,xover250,drums,-1.7103,-6.3730,19.6810
Hollow_Ground_-_Ill_Fate,xover250,other,2.0097,-1.1590,10.6424
Hollow_Ground_-_Ill_Fate,xover150d,vocals,1.6080,1.5325,7.0628
Hollow_Ground_-_Ill_Fate,xover150d,bass,-2.8207,-1.6620,16.9823
Hollow_Ground_-_Ill_Fate,xover150d,drums,-1.7103,-6.3730,19.6810
Hollow_Ground_-_Ill_Fate,xover150d,other,2.0097,-1.1590,10.6424
Little_Chicagos_Finest_-_My_Own,xover100,vocals,1.7345,1.7039,7.9542
Little_Chicagos_Finest_-_My_Own,xover100,bass,-6.7991,-4.2835,23.2606
Little_Chicagos_Finest_-_My_Own,xover100,drums,1.3688,2.6767,13.7175
Little_Chicagos_Finest_-_My_Own,xover100,other,-3.8074,-14.6084,9.8030
Little_Chicagos_Finest_-_My_Own,xover150,vocals,1.7345,1.7039,7.9542
Little_Chicagos_Finest_-_My_Own,xover150,bass,-6.5914,-4.1687,25.5073
Little_Chicagos_Finest_-_My_Own,xover150,drums,1.3688,2.6767,13.7175
Little_Chicagos_Finest_-_My_Own,xover150,other,-3.8074,-14.6084,9.8030
Little_Chicagos_Finest_-_My_Own,xover250,vocals,1.7345,1.7039,7.9542
Little_Chicagos_Finest_-_My_Own,xover250,bass,-6.0058,-4.7673,27.1410
Little_Chicagos_Finest_-_My_Own,xover250,drums,1.3688,2.6767,13.7175
Little_Chicagos_Finest_-_My_Own,xover250,other,-3.8074,-14.6084,9.8030
Little_Chicagos_Finest_-_My_Own,xover150d,vocals,1.7345,1.7039,7.9542
Little_Chicagos_Finest_-_My_Own,xover150d,bass,-2.3188,-3.5766,11.7860
Little_Chicagos_Finest_-_My_Own,xover150d,drums,1.3688,2.6767,13.7175
Little_Chicagos_Finest_-_My_Own,xover150d,other,-3.8074,-14.6084,9.8030
Louis_Cressy_Band_-_Good_Time,xover100,vocals,1.8767,2.5933,6.2716
Louis_Cressy_Band_-_Good_Time,xover100,bass,-4.7808,-3.2093,21.8370
Louis_Cressy_Band_-_Good_Time,xover100,drums,0.8741,-1.9004,16.5443
Louis_Cressy_Band_-_Good_Time,xover100,other,-0.6356,-14.6113,4.6573
Louis_Cressy_Band_-_Good_Time,xover150,vocals,1.8767,2.5933,6.2716
Louis_Cressy_Band_-_Good_Time,xover150,bass,-5.3358,-3.2773,25.6577
Louis_Cressy_Band_-_Good_Time,xover150,drums,0.8741,-1.9004,16.5443
Louis_Cressy_Band_-_Good_Time,xover150,other,-0.6356,-14.6113,4.6573
Louis_Cressy_Band_-_Good_Time,xover250,vocals,1.8767,2.5933,6.2716
Louis_Cressy_Band_-_Good_Time,xover250,bass,-5.0889,-3.4416,29.5696
Louis_Cressy_Band_-_Good_Time,xover250,drums,0.8741,-1.9004,16.5443
Louis_Cressy_Band_-_Good_Time,xover250,other,-0.6356,-14.6113,4.6573
Louis_Cressy_Band_-_Good_Time,xover150d,vocals,1.8767,2.5933,6.2716
Louis_Cressy_Band_-_Good_Time,xover150d,bass,-1.7497,-1.3826,14.2956
Louis_Cressy_Band_-_Good_Time,xover150d,drums,0.8741,-1.9004,16.5443
