track,branch,role,sdr,sir,sar
MERC_Music_-_Knockout,nmf5,bass,-1.1617,-2.4660,5.0182
MERC_Music_-_Knockout,nmf5,drums,0.0842,-4.3100,18.1193
MERC_Music_-_Knockout,nmf5,other,0.2786,-4.0934,6.6831
MERC_Music_-_Knockout,nmfd8,vocals,1.9463,1.7096,5.5588
MERC_Music_-_Knockout,nmfd8,bass,1.5676,-0.0249,5.5594
MERC_Music_-_Knockout,nmfd8,drums,0.0842,-4.3100,18.1193
MERC_Music_-_Knockout,nmfd8,other,0.0937,-7.2691,6.0841
Moosmusic_-_Big_Dummy_Shake,nmf5,vocals,0.4818,1.6057,3.9169
Moosmusic_-_Big_Dummy_Shake,nmf5,bass,-0.2840,-5.5905,6.4954
Moosmusic_-_Big_Dummy_Shake,nmf5,drums,1.2835,-2.3066,14.4476
Moosmusic_-_Big_Dummy_Shake,nmf5,other,-0.8728,-7.2480,6.9109
Moosmusic_-_Big_Dummy_Shake,nmfd8,vocals,3.0682,2.4575,6.2925
Moosmusic_-_Big_Dummy_Shake,nmfd8,bass,0.2212,-4.8872,7.2927
Moosmusic_-_Big_Dummy_Shake,nmfd8,drums,1.2835,-2.3066,14.4476
Moosmusic_-_Big_Dummy_Shake,nmfd8,other,-0.4778,-7.9377,5.7958
Motor_Tapes_-_Shore,nmf5,vocals,0.5638,2.7621,4.4573
Motor_Tapes_-_Shore,nmf5,bass,0.1148,-7.5042,3.8308
Motor_Tapes_-_Shore,nmf5,drums,-6.7609,-12.4293,18.4567
Motor_Tapes_-_Shore,nmf5,other,1.1607,-0.7879,7.7632
Motor_Tapes_-_Shore,nmfd8,vocals,1.5528,-0.7215,9.4147
Motor_Tapes_-_Shore,nmfd8,bass,1.8489,-0.7325,7.0365
Motor_Tapes_-_Shore,nmfd8,drums,-6.7609,-12.4293,18.4567
Motor_Tapes_-_Shore,nmfd8,other,0.9447,-3.5942,7.7920
PR_-_Oh_No,nmf5,vocals,-13.9181,-24.0507,4.2278
PR_-_Oh_No,nmf5,bass,-2.1361,-9.3811,7.6471
PR_-_Oh_No,nmf5,drums,3.4955,4.2423,11.5835
PR_-_Oh_No,nmf5,other,-0.0616,-4.9025,6.6963
PR_-_Oh_No,nmfd8,vocals,-16.2641,-24.0566,6.1280
PR_-_Oh_No,nmfd8,bass,-3.2091,-8.9324,11.8729
PR_-_Oh_No,nmfd8,drums,3.4955,4.2423,11.5835
PR_-_Oh_No,nmfd8,other,-0.7292,-16.7989,5.9085
Punkdisco_-_Oral_Hygiene,nmf5,vocals,0.5286,-3.9276,4.4440
Punkdisco_-_Oral_Hygiene,nmf5,bass,1.7663,0.3711,9.3080
Punkdisco_-_Oral_Hygiene,nmf5,drums,3.1647,0.0340,16.0720
Punkdisco_-_Oral_Hygiene,nmf5,other,-10.0266,-16.9140,7.0366
Punkdisco_-_Oral_Hygiene,nmfd8,vocals,1.9010,3.5102,7.3681
Punkdisco_-_Oral_Hygiene,nmfd8,bass,2.2229,1.1626,9.2675
Punkdisco_-_Oral_Hygiene,nmfd8,drums,3.1647,0.0340,16.0720
Punkdisco_-_Oral_Hygiene,nmfd8,other,-5.0359,-17.0218,2.4544
Secretariat_-_Borderline,nmf5,vocals,0.3215,-7.0727,4.3532
Secretariat_-_Borderline,nmf5,bass,-0.2584,-5.6229,8.0883
Secretariat_-_Borderline,nmf5,drums,-5.4627,-9.8319,14.5885
Secretariat_-_Borderline,nmf5,other,1.7790,1.8298,7.5161
Secretariat_-_Borderline,nmfd8,vocals,1.2595,0.8232,6.1477
Secretariat_-_Borderline,nmfd8,bass,0.2520,-5.5465,6.9838
Secretariat_-_Borderline,nmfd8,drums,-5.4627,-9.8319,14.5885
Secretariat_-_Borderline,nmfd8,other,1.8012,0.1338,9.9494
Signe_Jakobsen_-_What_Have_You_Done_To_Me,nmf5,vocals,1.0866,5.6402,2.8102
Signe_Jakobsen_-_What_Have_You_Done_To_Me,nmf5,bass,-0.0706,-3.2071,7.4013
Signe_Jakobsen_-_What_Have_You_Done_To_Me,nmf5,drums,-1.2856,-5.7722,13.4941
Signe_Jakobsen_-_What_Have_You_Done_To_Me,nmf5,other,0.5553,-4.6852,6.5132
Signe_Jakobsen_-_What_Have_You_Done_To_Me,nmfd8,vocals,2.4755,1.4684,4.9399
Signe_Jakobsen_-_What_Have_You_Done_To_Me,nmfd8,bass,1.2271,-0.9209,5.8957
Signe_Jakobsen_-_What_Have_You_Done_To_Me,nmfd8,drums,-1.2856,-5.7722,13.4941
Signe_Jakobsen_-_What_Have_You_Done_To_Me,nmfd8,other,0.1587,-6.4335,4.0511
The_Mountaineering_Club_-_Mallory,nmf5,vocals,0.4875,-4.0182,3.7185
The_Mountaineering_Club_-_Mallory,nmf5,bass,1.5484,-0.8452,7.9569
The_Mountaineering_Club_-_Mallory,nmf5,drums,0.0911,-4.2236,12.4138
The_Mountaineering_Club_-_Mallory,nmf5,other,-0.7387,-8.8873,7.9980
The_Mountaineering_Club_-_Mallory,nmfd8,vocals,4.9044,6.6640,9.5200
The_Mountaineering_Club_-_Mallory,nmfd8,bass,0.2252,-4.0066,7.6805
The_Mountaineering_Club_-_Mallory,nmfd8,drums,0.0911,-4.2236,12.4138
The_Mountaineering_Club_-_Mallory,nmfd8,other,-1.2202,-9.9632,4.6192
The_Sunshine_Garcia_Band_-_For_I_Am_The_Moon,nmf5,vocals,0.8552,-2.7327,4.9264
The_Sunshine_Garcia_Band_-_For_I_Am_The_Moon,nmf5,bass,0.1839,-7.5852,7.3458
The_Sunshine_Garcia_Band_-_For_I_Am_The_Moon,nmf5,drums,0.7179,-2.9372,11.5391
The_Sunshine_Garcia_Band_-_For_I_Am_The_Moon,nmf5,other,-1.7868,-6.6324,6.7776
The_Sunshine_Garcia_Band_-_For_I_Am_The_Moon,nmfd8,vocals,3.4184,4.9550,8.1526
The_Sunshine_Garcia_Band_-_For_I_Am_The_Moon,nmfd8,bass,0.3345,-4.7079,8.0221
The_Sunshine_Garcia_Band_-_For_I_Am_The_Moon,nmfd8,drums,0.7179,-2.9372,11.5391
The_Sunshine_Garcia_Band_-_For_I_Am_The_Moon,nmfd8,other,-2.6388,-10.3679,5.7334
Timboz_-_Pony,nmf5,vocals,-6.9636,-19.0384,8.7934
Timboz_-_Pony,nmf5,bass,-2.0027,-11.9991,6.2620
Timboz_-_Pony,nmf5,drums,-0.6921,-5.7559,22.4576
Timboz_-_Pony,nmf5,other,0.7377,2.4680,5.9731
Timboz_-_Pony,nmfd8,vocals,-4.2812,-11.4941,3.2880
Timboz_-_Pony,nmfd8,bass,-0.6239,-9.4024,12.2073
Timboz_-_Pony,nmfd8,drums,-0.6921,-5.7559,22.4576
Timboz_-_Pony,nmfd8,other,1.6037,1.0048,10.0667
Zeno_-_Signs,nmf5,vocals,-1.5250,-10.1971,4.3755
Zeno_-_Signs,nmf5,bass,-2.7398,-12.5352,5.1888
Zeno_-_Signs,nmf5,drums,2.7334,1.0890,14.7451
Zeno_-_Signs,nmf5,other,1.0454,-0.9793,7.9799
Zeno_-_Signs,nmfd8,vocals,-0.5087,-2.6571,5.9007
Zeno_-_Signs,nmfd8,bass,-4.5527,-9.4594,6.9032
Zeno_-_Signs,nmfd8,drums,2.7334,1.0890,14.7451
Zeno_-_Signs,nmfd8,other,0.3204,-6.7764,4.1938
